feed,exit,error_rows,high_priority
base-de-donnees-multimodale-transports-publics-en-bretagne-korrigo-gtfs.zip,0,0,0
kor__base-de-donnees-multimodale-transports-publics-en-bretagne-korrigo-gtfs.zip,0,0,0
arrets-horaires-et-circuits-des-lignes-de-transports-en-commun-en-pays-de-la-loire-gtfs-destineo-reseaux-aom-aleop-1.zip,0,0,0
des__arrets-horaires-et-circuits-des-lignes-de-transports-en-commun-en-pays-de-la-loire-gtfs-destineo-reseaux-aom-aleop-1.zip,0,0,0
base-de-donnees-multimodale-des-reseaux-de-transport-public-normands.zip,0,0,0
norm__base-de-donnees-multimodale-des-reseaux-de-transport-public-normands.zip,0,0,0
arrets-horaires-et-circuits-des-lignes-de-transports-aleop-1.zip,0,0,0
aleop__arrets-horaires-et-circuits-des-lignes-de-transports-aleop-1.zip,0,0,0
donnees-theoriques-du-reseau-urbain-de-flers-agglo-au-format-gtfs.zip,0,0,0
flers__donnees-theoriques-du-reseau-urbain-de-flers-agglo-au-format-gtfs.zip,0,0,0
lineotim-morlaix-communaute.zip,0,0,0
lineotim__lineotim-morlaix-communaute.zip,0,0,0
reseau-urbain-kiceo.zip,0,0,0
kiceo__reseau-urbain-kiceo.zip,0,0,0
navette-a-la-voile-pour-les-glenan.zip,0,0,0
