feed,n_stops,n_dangling
aleop__arrets-horaires-et-circuits-des-lignes-de-transports-aleop-1.zip,,
arbus__ar-bus-landerneau-daoulas-transport.zip,,
argen__argentanbus-argentan-intercom.zip,,
arz__breizhgo-bateaux__81478.zip,,
bacs-de-ecouflant-cantenay-epinard-et-pruille.zip,,
bacs44__horaires-des-bacs-de-loire-en-loire-atlantique-gtfs.zip,,
bacsec__bacs-de-ecouflant-cantenay-epinard-et-pruille.zip,,
bferry__horaires-des-traversees-brittany-ferries.zip,,
bgc22__breizhgo-car__81461.zip,,
bgc29__breizhgo-car__81462.zip,,
bgc35__breizhgo-35-experimentation.zip,,
bgc35dup__breizhgo-car__81463.zip,,
bgc56__breizhgo-car__81464.zip,,
bgter__breizhgo-ter.zip,,
bibus__horaires-theoriques-et-temps-reel-des-bus-et-tramways-circulant-sur-le-territoire-de-brest-metropole.zip,,
breh__breizhgo-bateaux__81479.zip,,
cholet__horaires-theoriques-reseau-choletbus.zip,,
coralie__coralie-concarneau-cornouaille-agglomeration-transport.zip,,
des__arrets-horaires-et-circuits-des-lignes-de-transports-en-commun-en-pays-de-la-loire-gtfs-destineo-reseaux-aom-aleop-1.zip,,
dinamo__reseau-urbain-dinamo.zip,,
distribus__reseau-urbain-distribus.zip,,
finair__finistair-region-bretagne.zip,,
flers__donnees-theoriques-du-reseau-urbain-de-flers-agglo-au-format-gtfs.zip,,
glazgo__reseau-urbain-glazgo.zip,,
glenan__navette-a-la-voile-pour-les-glenan.zip,,
gpm__reseau-urbain-scolaire-guingamp-paimpol-mobilite.zip,,
ile56__breizhgo-bateaux__81481.zip,,
izilo__horaires-theoriques-du-reseau-izilo-format-gtfs-de-lorient-agglomeration.zip,,
kiceo__reseau-urbain-kiceo.zip,,
kor__base-de-donnees-multimodale-transports-publics-en-bretagne-korrigo-gtfs.zip,,
laval__offre-de-transport-du-reseau-de-laval-agglomeration-gtfs.zip,,
lineotim__lineotim-morlaix-communaute.zip,,
mat__reseau-urbain-mat.zip,,
maybus__horaires-theoriques-et-temps-reel-du-reseau-maybus-mayenne-gtfs-gtfs-rt.zip,,
nemus__reseau-nemus.zip,,
neva__neva-granville-terre-et-mer.zip,,
nomad__nomad-car-region-normandie.zip,,
norm__base-de-donnees-multimodale-des-reseaux-de-transport-public-normands.zip,,
pabmar__breizhgo-bateaux__81480.zip,,
pondibus__reseau-urbain-pondibus.zip,,
ponto__navette-pontorson-le-mont-saint-michel.zip,,
qub__horaires-theoriques-et-du-reseau-de-transports-qub-transports-urbains-de-quimper-bretagne-occidentale.zip,,
star__versions-des-horaires-theoriques-des-lignes-de-bus-et-de-metro-du-reseau-star-dans-les-formats-gtfs-et-netex-ainsi-que-les-urls-dacces-au-gtfs-rt-1.zip,,
surf__reseau-urbain-surf.zip,,
tbk__tbk-offre-theorique-et-temps-reel-du-reseau-de-transports-du-pays-de-quimperle.zip,,
tilt__tilt-lannion-tregor-communaute.zip,,
tub__gtfs-du-reseau-de-transports-publics-de-saint-brieuc-armor-agglomeration.zip,,
tudbus__tudbus-douarnenez-communaute-transport.zip,,
vitre__reseau-urbain-ville-de-vitre.zip,,
ar-bus-landerneau-daoulas-transport.zip,125,0
arrets-horaires-et-circuits-des-lignes-de-transports-aleop-1.zip,9779,0
arrets-horaires-et-circuits-des-lignes-de-transports-en-commun-en-pays-de-la-loire-gtfs-destineo-reseaux-aom-aleop-1.zip,15863,0
base-de-donnees-multimodale-des-reseaux-de-transport-public-normands.zip,12574,0
base-de-donnees-multimodale-transports-publics-en-bretagne-korrigo-gtfs.zip,29634,0
breizhgo-35-experimentation.zip,739,0
breizhgo-ter.zip,430,0
donnees-theoriques-du-reseau-urbain-de-flers-agglo-au-format-gtfs.zip,100,0
finistair-region-bretagne.zip,2,0
horaires-des-traversees-brittany-ferries.zip,12,0
horaires-theoriques-et-temps-reel-des-bus-et-tramways-circulant-sur-le-territoire-de-brest-metropole.zip,1074,0
lineotim-morlaix-communaute.zip,583,0
navette-a-la-voile-pour-les-glenan.zip,3,0
offre-de-transport-du-reseau-de-laval-agglomeration-gtfs.zip,557,0
reseau-urbain-kiceo.zip,2631,0
versions-des-horaires-theoriques-des-lignes-de-bus-et-de-metro-du-reseau-star-dans-les-formats-gtfs-et-netex-ainsi-que-les-urls-dacces-au-gtfs-rt-1__83282.zip,1804,0
