id,entries,note
gtfsx_aleop,10,already flat
gtfsx_arbus,9,FLATTENED
gtfsx_argen,9,FLATTENED
gtfsx_arz,9,FLATTENED
gtfsx_bacs44,9,FLATTENED
gtfsx_bacsec,7,FLATTENED
gtfsx_bferry,6,FLATTENED
gtfsx_bgc22,9,FLATTENED
gtfsx_bgc29,9,FLATTENED
gtfsx_bgc35,9,FLATTENED
gtfsx_bgc35dup,9,FLATTENED
gtfsx_bgc56,9,FLATTENED
gtfsx_bgter,9,FLATTENED
gtfsx_bibus,9,FLATTENED
gtfsx_breh,9,FLATTENED
gtfsx_cholet,10,already flat
gtfsx_coralie,9,FLATTENED
gtfsx_des,10,already flat
gtfsx_dinamo,9,already flat
gtfsx_distribus,9,already flat
gtfsx_finair,9,FLATTENED
gtfsx_flers,8,FLATTENED
gtfsx_glazgo,9,already flat
gtfsx_glenan,8,FLATTENED
gtfsx_gpm,9,already flat
gtfsx_ile56,9,FLATTENED
gtfsx_izilo,10,FLATTENED
gtfsx_kiceo,9,already flat
gtfsx_kor,9,already flat
gtfsx_laval,9,FLATTENED
gtfsx_lineotim,9,already flat
gtfsx_mat,9,already flat
gtfsx_maybus,10,already flat
gtfsx_nemus,6,FLATTENED
gtfsx_neva,9,FLATTENED
gtfsx_nomad,9,FLATTENED
gtfsx_norm,9,FLATTENED
gtfsx_pabmar,9,FLATTENED
gtfsx_pondibus,8,already flat
gtfsx_ponto,9,FLATTENED
gtfsx_qub,9,already flat
gtfsx_star,9,already flat
gtfsx_surf,9,already flat
gtfsx_tbk,9,FLATTENED
gtfsx_tilt,9,FLATTENED
gtfsx_tub,9,already flat
gtfsx_tudbus,9,FLATTENED
gtfsx_vitre,8,already flat
