mode,chunk,status,route_s,n_routed_pairs,n_identity_pairs,n_rows,sha
bike,1,complete,1.71,24208,36216,8862,8b48e42e
bike,2,complete,1.88,37293,57288,10337,fc07d80f
bike,3,complete,2.01,31710,46625,10407,114778f6
bike,4,complete,1.45,23512,33946,9117,92659627
bike,5,complete,1.52,36053,66058,10353,41d54dea
car,1,complete,4.15,264725,377522,27943,93bac8c7
car,2,complete,4.33,293205,422812,28675,d6f7c368
car,3,complete,4.11,304657,431351,29726,4cbd9150
car,4,complete,3.47,265020,370287,28809,d7c60e2a
car,5,complete,6,422433,710654,30856,62ec4fa8
transit,1,complete,106.31,11477,16292,6156,fd861577
transit,2,complete,115.25,13819,20678,6896,7f26b1ba
transit,3,complete,125.15,17726,26650,6757,abb631fe
transit,4,complete,121.67,10630,15194,6126,3fec93b6
transit,5,complete,100.5,13426,23323,7158,9675d315
walk,1,complete,2.97,11472,16287,6156,7104264c
walk,2,complete,3.22,13791,20636,6896,ee9b1151
walk,3,complete,3.35,12698,18014,6736,b8bf1975
walk,4,complete,2.98,10020,14324,6126,1a362fe6
walk,5,complete,2.89,13406,23295,7158,94962f08
