id,n_stops,n_dangling,n_added,n_blanked,note
gtfsx_aleop,6236,4046,2190,0,PATCHED
gtfsx_arbus,125,0,0,0,clean
gtfsx_argen,59,0,0,0,clean
gtfsx_arz,3,0,0,0,clean
gtfsx_bacs44,4,0,0,0,clean
gtfsx_bacsec,4,0,0,0,clean
gtfsx_bferry,12,0,0,0,clean
gtfsx_bgc22,1035,0,0,0,clean
gtfsx_bgc29,1142,0,0,0,clean
gtfsx_bgc35,739,0,0,0,clean
gtfsx_bgc35dup,0,0,0,0,clean
gtfsx_bgc56,528,0,0,0,clean
gtfsx_bgter,430,0,0,0,clean
gtfsx_bibus,1074,0,0,0,clean
gtfsx_breh,2,0,0,0,clean
gtfsx_cholet,670,423,247,0,PATCHED
gtfsx_coralie,300,0,0,0,clean
gtfsx_des,8327,5399,2928,0,PATCHED
gtfsx_dinamo,398,249,149,0,PATCHED
gtfsx_distribus,161,97,64,0,PATCHED
gtfsx_finair,2,0,0,0,clean
gtfsx_flers,0,0,0,0,clean
gtfsx_glazgo,441,270,171,0,PATCHED
gtfsx_glenan,3,0,0,0,clean
gtfsx_gpm,299,183,116,0,PATCHED
gtfsx_ile56,7,0,0,0,clean
gtfsx_izilo,2079,0,0,0,clean
gtfsx_kiceo,2631,1642,989,0,PATCHED
gtfsx_kor,278,139,139,0,PATCHED
gtfsx_laval,557,0,0,0,clean
gtfsx_lineotim,583,367,216,0,PATCHED
gtfsx_mat,1136,568,568,0,PATCHED
gtfsx_maybus,57,16,9,0,PATCHED
gtfsx_nemus,194,0,0,0,clean
gtfsx_neva,172,0,0,0,clean
gtfsx_nomad,3813,0,0,0,clean
gtfsx_norm,8367,0,0,0,clean
gtfsx_pabmar,7,0,0,0,clean
gtfsx_pondibus,127,68,59,0,PATCHED
gtfsx_ponto,8,0,0,0,clean
gtfsx_qub,1126,151,86,0,PATCHED
gtfsx_star,1804,59,28,0,PATCHED
gtfsx_surf,238,147,91,0,PATCHED
gtfsx_tbk,866,0,0,0,clean
gtfsx_tilt,301,0,0,0,clean
gtfsx_tub,2512,1606,906,0,PATCHED
gtfsx_tudbus,113,0,0,0,clean
gtfsx_vitre,211,127,84,0,PATCHED
