regime,id,sha256,role,prefix,staged_file
current,gtfs-ar-bus-landerneau-daoulas-transport,62a3728cdf4dd36a06a344da78f973fe47b114e629cef0180ac59b6a36c581bc,primary-current,"",ar-bus-landerneau-daoulas-transport.zip
current,gtfs-arrets-horaires-et-circuits-des-lignes-de-transports-al,badde0e7b35e846afceed74b0f82d7e04d9b96b0a37c1ab235813b482c4ae3ed,primary-current,"",arrets-horaires-et-circuits-des-lignes-de-transports-aleop-1.zip
current,gtfs-arrets-horaires-et-circuits-des-lignes-de-transports-en,1f6f3752a3cd57c34629959447d461dda699793cc20970ad983edd8dbf803891,primary-current,"",arrets-horaires-et-circuits-des-lignes-de-transports-en-commun-en-pays-de-la-loire-gtfs-destineo-reseaux-aom-aleop-1.zip
current,gtfs-bacs-de-ecouflant-cantenay-epinard-et-pruille,fb08df47b1e59fead48989d22f12c7de6426bdb4884824c9c24ac2f3633a05ef,primary-current,"",bacs-de-ecouflant-cantenay-epinard-et-pruille.zip
current,gtfs-base-de-donnees-multimodale-des-reseaux-de-transport-pu,3f0d758331d51eb52c8f49959eca37569ddcf43037c0cf50634c724a535d660d,primary-current,"",base-de-donnees-multimodale-des-reseaux-de-transport-public-normands.zip
current,gtfs-base-de-donnees-multimodale-transports-publics-en-breta,807c5666fc963d66ab5d17d6931c52b6b76fa77c879955ee813f3c71bd9f1705,primary-current,"",base-de-donnees-multimodale-transports-publics-en-bretagne-korrigo-gtfs.zip
current,gtfs-breizhgo-35-experimentation,54bc2a99a60e4b0df491cb5c8cc37d1ad2abc717efa5bb2a120290758c325500,primary-current,"",breizhgo-35-experimentation.zip
current,gtfs-breizhgo-ter,84d2f9a10c0d754b98c2189bd1baec068f590f29d4ef9fc8f442c49286ce13b1,primary-current,"",breizhgo-ter.zip
current,gtfs-donnees-theoriques-du-reseau-urbain-de-flers-agglo-au-f,4fac5f7a7bf5d8a297a2dea6edbbcc5068d573ef43dc0d4c6be33b26062bf202,primary-current,"",donnees-theoriques-du-reseau-urbain-de-flers-agglo-au-format-gtfs.zip
current,gtfs-finistair-region-bretagne,2bc337c62aeb16a18bf2d17066af77966f6f15327de1cff421e79401e0a26fe6,primary-current,"",finistair-region-bretagne.zip
current,gtfs-horaires-des-traversees-brittany-ferries,1b020e54a8b9a2b186fe22a7c8e86d68256421b18e58c3d4990de111f87a6e4e,primary-current,"",horaires-des-traversees-brittany-ferries.zip
current,gtfs-horaires-theoriques-et-temps-reel-des-bus-et-tramways-c,0e979f9c6cd7ef82407f771351538cdcefcf50964390d78251c3545ffcd7acf9,primary-current,"",horaires-theoriques-et-temps-reel-des-bus-et-tramways-circulant-sur-le-territoire-de-brest-metropole.zip
current,gtfs-lineotim-morlaix-communaute,74da2b32c9b79f839d5212968410ccc649551bea2f2b764a0e9232292e7cc77f,primary-current,"",lineotim-morlaix-communaute.zip
current,gtfs-navette-a-la-voile-pour-les-glenan,bef4a06dfa030bfb0f7ffeead0bcb3dbcfb477b91e7a82c4fe6e2f2f5d733f96,primary-current,"",navette-a-la-voile-pour-les-glenan.zip
current,gtfs-offre-de-transport-du-reseau-de-laval-agglomeration-gtf,246b24369d5a7d6f01024f18948108a6522cb3e3123f3bec75237836c99dbfdb,primary-current,"",offre-de-transport-du-reseau-de-laval-agglomeration-gtfs.zip
current,gtfs-kiceo,7d0c0a827be68d13752e2ea8bb52154f9934fd28e1c99166db87ee1ec5fa0df1,primary-current,"",reseau-urbain-kiceo.zip
current,gtfs-versions-des-horaires-theoriques-des-lignes-de-bus-et-d,2430af8d231c046b6dc326814af66e9f648be9f20234842f39f465d2d46adb70,primary-current,"",versions-des-horaires-theoriques-des-lignes-de-bus-et-de-metro-du-reseau-star-dans-les-formats-gtfs-et-netex-ainsi-que-les-urls-dacces-au-gtfs-rt-1__83282.zip
current,gtfsx_aleop,2e6002070ce218e79b32bf15338e12e01c63bd8f88098814cb5f9ec2ff1d0841,derived-namespaced,aleop,aleop__arrets-horaires-et-circuits-des-lignes-de-transports-aleop-1.zip
current,gtfsx_arbus,b90d60f70ecf43b9a6e7059451e1807c7bad2a26c52b02bf6e54aa60b93c8643,derived-namespaced,arbus,arbus__ar-bus-landerneau-daoulas-transport.zip
current,gtfsx_argen,9d4f1aba7eebfa78d4beb1389a015afe179af65a4285bb5dee77e3752309f2aa,derived-namespaced,argen,argen__argentanbus-argentan-intercom.zip
current,gtfsx_arz,7af5abf5de26c5c9b1fc083033831db6943a6f2b3cb5d67b0415ea1f3b8254b1,derived-namespaced,arz,arz__breizhgo-bateaux__81478.zip
current,gtfsx_bacs44,c75d717290002d73d4e89e949dedfdfe931333f8d3512a363759c108ac0d9184,derived-namespaced,bacs44,bacs44__horaires-des-bacs-de-loire-en-loire-atlantique-gtfs.zip
current,gtfsx_bacsec,73252b4d84c58f045e665184c92d6ea10df44073e71cc50be871d386820aea12,derived-namespaced,bacsec,bacsec__bacs-de-ecouflant-cantenay-epinard-et-pruille.zip
